#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
长征	長征	<span class="tone2">cháng</span> <span class="tone1">zhēng</span>	<ol><li>expedition</li><li>long journey</li></ol>			
长征	長征	<span class="tone2">Cháng</span> <span class="tone1">zhēng</span>	<ol><li>Long March (retreat of the Red Army 1934-1935)</li></ol>			
长足	長足	<span class="tone2">cháng</span> <span class="tone2">zú</span>	<ol><li>remarkable (progress, improvement, expansion etc)</li></ol>			
超标	超標	<span class="tone1">chāo</span> <span class="tone1">biāo</span>	<ol><li>to cross the limit</li><li>to be over the accepted norm</li><li>excessive</li></ol>			
超车	超車	<span class="tone1">chāo</span> <span class="tone1">chē</span>	<ol><li>to overtake (another car)</li></ol>			
朝代		<span class="tone2">cháo</span> <span class="tone4">dài</span>	<ol><li>dynasty</li><li>reign (of a king)</li></ol>			
嘲弄		<span class="tone2">cháo</span> <span class="tone4">nòng</span>	<ol><li>to tease</li><li>to poke fun at</li><li>to make fun of</li></ol>			
钞票	鈔票	<span class="tone1">chāo</span> <span class="tone4">piào</span>	<ol><li>paper money</li><li>a bill (e.g. 100 yuan)</li></ol>	张|張(<span class="tone1">zhāng</span>), 扎|紮(<span class="tone1">zā</span>)		
超前		<span class="tone1">chāo</span> <span class="tone2">qián</span>	<ol><li>to be ahead of one's time</li><li>to surpass or outdo one's predecessors</li><li>to be ahead of the pack</li><li>to take the lead</li><li>advanced</li></ol>			
超速		<span class="tone1">chāo</span> <span class="tone4">sù</span>	<ol><li>to exceed the speed limit</li><li>to speed</li><li>high-speed</li></ol>			
抄袭	抄襲	<span class="tone1">chāo</span> <span class="tone2">xí</span>	<ol><li>to plagiarize</li><li>to copy</li><li>to attack the flank or rear of an enemy</li></ol>			
嘲笑		<span class="tone2">cháo</span> <span class="tone4">xiào</span>	<ol><li>to jeer at</li><li>to deride</li><li>to ridicule</li><li>mockery</li><li>derision</li></ol>			
朝着	朝著	<span class="tone2">cháo</span> <span class="tone5">zhe</span>	<ol><li>towards</li></ol>			
吵嘴		<span class="tone3">chǎo</span> <span class="tone3">zuǐ</span>	<ol><li>to quarrel</li></ol>			
扯		<span class="tone3">chě</span>	<ol><li>to pull</li><li>to tear</li><li>(of cloth, thread etc) to buy</li><li>to chat</li><li>to gossip</li><li>(coll.) (Tw) ridiculous</li><li>hokey</li></ol>			<span class="nobr">尺</span>
扯	撦	<span class="tone3">chě</span>	<ol><li>to pull</li><li>to tear</li></ol>			<span class="nobr">尺</span>
撤		<span class="tone4">chè</span>	<ol><li>to remove; to take away</li></ol>			
车道	車道	<span class="tone1">chē</span> <span class="tone4">dào</span>	<ol><li>traffic lane</li><li>driveway</li></ol>			
撤换	撤換	<span class="tone4">chè</span> <span class="tone4">huàn</span>	<ol><li>to dismiss and replace (sb)</li><li>to replace (sb or sth)</li></ol>			
车祸	車禍	<span class="tone1">chē</span> <span class="tone4">huò</span>	<ol><li>traffic accident</li><li>car crash</li></ol>	场|場(<span class="tone2">cháng</span>)		
车间	車間	<span class="tone1">chē</span> <span class="tone1">jiān</span>	<ol><li>workshop</li></ol>	个|個(<span class="tone4">gè</span>)		
车轮	車輪	<span class="tone1">chē</span> <span class="tone2">lún</span>	<ol><li>wheel</li></ol>			
车速	車速	<span class="tone1">chē</span> <span class="tone4">sù</span>	<ol><li>vehicle speed</li></ol>			
车位	車位	<span class="tone1">chē</span> <span class="tone4">wèi</span>	<ol><li>parking spot</li><li>unloading point</li><li>garage place</li><li>stand for taxi</li></ol>			
车厢	車廂	<span class="tone1">chē</span> <span class="tone1">xiāng</span>	<ol><li>carriage</li></ol>	节|節(<span class="tone2">jié</span>)		
车型	車型	<span class="tone1">chē</span> <span class="tone2">xíng</span>	<ol><li>vehicle model (i.e. particular version of a car or motorcycle etc)</li></ol>			
彻夜	徹夜	<span class="tone4">chè</span> <span class="tone4">yè</span>	<ol><li>the whole night</li></ol>			
车轴	車軸	<span class="tone1">chē</span> <span class="tone2">zhóu</span>	<ol><li>axle</li></ol>	根(<span class="tone1">gēn</span>)		
趁		<span class="tone4">chèn</span>	<ol><li>to avail oneself of</li><li>to take advantage of</li></ol>			<span class="nobr">称</span>
趁	趂	<span class="tone4">chèn</span>	<ol><li>old variant of 趁</li></ol>			<span class="nobr">称</span>
沉淀	沉澱	<span class="tone2">chén</span> <span class="tone4">diàn</span>	<ol><li>(chemistry) to settle; to precipitate</li><li>(chemistry) sediment; precipitate</li><li>(fig.) to accumulate</li></ol>			
沉甸甸		<span class="tone2">chén</span> <span class="tone4">diàn</span> <span class="tone4">diàn</span>	<ol><li>heavy</li></ol>			
趁机	趁機	<span class="tone4">chèn</span> <span class="tone1">jī</span>	<ol><li>to seize an opportunity</li></ol>			
沉浸		<span class="tone2">chén</span> <span class="tone4">jìn</span>	<ol><li>to soak</li><li>to permeate</li><li>to immerse</li></ol>			
陈旧	陳舊	<span class="tone2">chén</span> <span class="tone4">jiù</span>	<ol><li>old-fashioned</li></ol>			
陈列	陳列	<span class="tone2">chén</span> <span class="tone4">liè</span>	<ol><li>to display; to exhibit</li></ol>			
沉闷	沉悶	<span class="tone2">chén</span> <span class="tone4">mèn</span>	<ol><li>oppressive (of weather)</li><li>heavy</li><li>depressed</li><li>not happy</li><li>(of sound) dull</li><li>muffled</li></ol>			
沉迷		<span class="tone2">chén</span> <span class="tone2">mí</span>	<ol><li>to be engrossed</li><li>to be absorbed with</li><li>to lose oneself in</li><li>to be addicted to</li></ol>			
陈述	陳述	<span class="tone2">chén</span> <span class="tone4">shù</span>	<ol><li>an assertion</li><li>to declare</li><li>to state</li></ol>			
沉思		<span class="tone2">chén</span> <span class="tone1">sī</span>	<ol><li>to contemplate</li><li>to ponder</li><li>contemplation</li><li>meditation</li></ol>			
衬托	襯托	<span class="tone4">chèn</span> <span class="tone1">tuō</span>	<ol><li>to serve to highlight; to serve as a backdrop or contrasting element</li></ol>			
沉稳	沉穩	<span class="tone2">chén</span> <span class="tone3">wěn</span>	<ol><li>steady</li><li>calm</li><li>unflustered</li></ol>			
趁早		<span class="tone4">chèn</span> <span class="tone3">zǎo</span>	<ol><li>as soon as possible</li><li>at the first opportunity</li><li>the sooner the better</li><li>before it's too late</li></ol>			
沉着	沉著	<span class="tone2">chén</span> <span class="tone2">zhuó</span>	<ol><li>steady</li><li>calm and collected</li><li>not nervous</li></ol>			
盛		<span class="tone2">chéng</span>	<ol><li>to hold</li><li>to contain</li><li>to ladle</li><li>to pick up with a utensil</li></ol>			<span class="nobr">乘</span> <span class="nobr">城</span> <span class="nobr">成</span>
盛		<span class="tone4">Shèng</span>	<ol><li>surname Sheng</li></ol>			
盛		<span class="tone4">shèng</span>	<ol><li>flourishing</li><li>vigorous</li><li>magnificent</li><li>extensively</li></ol>			<span class="nobr">乘</span> <span class="nobr">剩</span> <span class="nobr">胜</span>
秤		<span class="tone4">chèng</span>	<ol><li>steelyard</li><li>Roman balance</li></ol>	台|臺(<span class="tone2">tái</span>)		<span class="nobr">称</span>
承包		<span class="tone2">chéng</span> <span class="tone1">bāo</span>	<ol><li>to contract</li><li>to undertake (a job)</li></ol>			
成才		<span class="tone2">chéng</span> <span class="tone2">cái</span>	<ol><li>to make sth of oneself</li><li>to become a person who is worthy of respect</li></ol>			
惩处	懲處	<span class="tone2">chéng</span> <span class="tone3">chǔ</span>	<ol><li>to punish</li><li>to administer justice</li></ol>			
惩罚	懲罰	<span class="tone2">chéng</span> <span class="tone2">fá</span>	<ol><li>penalty</li><li>punishment</li><li>to punish</li></ol>			
称呼	稱呼	<span class="tone1">chēng</span> <span class="tone5">hu</span>	<ol><li>to call; to address as</li><li>form of address; appellation</li></ol>			
成家		<span class="tone2">chéng</span> <span class="tone1">jiā</span>	<ol><li>to settle down and get married (of a man)</li><li>to become a recognized expert</li></ol>			
诚恳	誠懇	<span class="tone2">chéng</span> <span class="tone3">kěn</span>	<ol><li>sincere</li><li>honest</li><li>cordial</li></ol>			
逞能		<span class="tone3">chěng</span> <span class="tone2">néng</span>	<ol><li>to show off one's ability</li><li>to boast one's merits</li></ol>			
成年		<span class="tone2">chéng</span> <span class="tone2">nián</span>	<ol><li>to grow to adulthood</li><li>fully grown; adult</li><li>the whole year</li></ol>			
成千上万	成千上萬	<span class="tone2">chéng</span> <span class="tone1">qiān</span> <span class="tone4">shàng</span> <span class="tone4">wàn</span>	<ol><li>lit. by the thousands and tens of thousands (idiom); untold numbers</li><li>innumerable</li><li>thousands upon thousands</li></ol>			
城墙	城牆	<span class="tone2">chéng</span> <span class="tone2">qiáng</span>	<ol><li>city wall</li></ol>			
逞强	逞強	<span class="tone3">chěng</span> <span class="tone2">qiáng</span>	<ol><li>to show off</li><li>to try to be brave</li></ol>			
澄清		<span class="tone2">chéng</span> <span class="tone1">qīng</span>	<ol><li>clear (of liquid)</li><li>limpid</li><li>to clarify</li><li>to make sth clear</li><li>to be clear (about the facts)</li></ol>			
澄清		<span class="tone4">dèng</span> <span class="tone1">qīng</span>	<ol><li>to settle (of liquid)</li><li>to become clear (by precipitation of impurities)</li><li>precipitate (chemistry)</li><li>to put in order</li><li>to quell disturbances</li></ol>			
成群结队	成群結隊	<span class="tone2">chéng</span> <span class="tone2">qún</span> <span class="tone2">jié</span> <span class="tone4">duì</span>	<ol><li>making up a group, forming a troupe (idiom); in large numbers</li><li>as a large crowd</li></ol>			
乘人之危		<span class="tone2">chéng</span> <span class="tone2">rén</span> <span class="tone1">zhī</span> <span class="tone1">wēi</span>	<ol><li>to take advantage of sb's precarious position</li></ol>			
成天		<span class="tone2">chéng</span> <span class="tone1">tiān</span>	<ol><li>(coll.) all day long</li><li>all the time</li></ol>			
成问题	成問題	<span class="tone2">chéng</span> <span class="tone4">wèn</span> <span class="tone2">tí</span>	<ol><li>to be a problem</li><li>problematic</li><li>questionable</li></ol>			
呈现	呈現	<span class="tone2">chéng</span> <span class="tone4">xiàn</span>	<ol><li>to appear</li><li>to emerge</li><li>to present (a certain appearance)</li><li>to demonstrate</li></ol>			
诚心诚意	誠心誠意	<span class="tone2">chéng</span> <span class="tone1">xīn</span> <span class="tone2">chéng</span> <span class="tone4">yì</span>	<ol><li>earnestly and sincerely (idiom); with all sincerity</li></ol>			
成型		<span class="tone2">chéng</span> <span class="tone2">xíng</span>	<ol><li>to become shaped</li><li>to become formed</li></ol>			
诚意	誠意	<span class="tone2">chéng</span> <span class="tone4">yì</span>	<ol><li>sincerity; good faith</li></ol>			
承载	承載	<span class="tone2">chéng</span> <span class="tone4">zài</span>	<ol><li>to bear the weight</li><li>to sustain</li></ol>			
诚挚	誠摯	<span class="tone2">chéng</span> <span class="tone4">zhì</span>	<ol><li>sincere</li><li>cordial</li></ol>			
橙汁		<span class="tone2">chéng</span> <span class="tone1">zhī</span>	<ol><li>orange juice</li></ol>	瓶(<span class="tone2">píng</span>), 杯(<span class="tone1">bēi</span>), 罐(<span class="tone4">guàn</span>), 盒(<span class="tone2">hé</span>)		
称作	稱作	<span class="tone1">chēng</span> <span class="tone4">zuò</span>	<ol><li>to be called; to be known as</li></ol>			
持		<span class="tone2">chí</span>	<ol><li>to hold</li><li>to grasp</li><li>to support</li><li>to maintain</li><li>to persevere</li><li>to manage</li><li>to run (i.e. administer)</li><li>to control</li></ol>			<span class="nobr">迟</span>
翅膀		<span class="tone4">chì</span> <span class="tone3">bǎng</span>	<ol><li>wing</li></ol>	个|個(<span class="tone4">gè</span>), 对|對(<span class="tone4">duì</span>)		
吃不上		<span class="tone1">chī</span> <span class="tone5">bu</span> <span class="tone4">shàng</span>	<ol><li>unable to get anything to eat</li><li>to miss a meal</li></ol>			
迟迟	遲遲	<span class="tone2">chí</span> <span class="tone2">chí</span>	<ol><li>late (with a task etc)</li><li>slow</li></ol>			
痴呆	痴獃	<span class="tone1">chī</span> <span class="tone1">dāi</span>	<ol><li>imbecility</li><li>dementia</li></ol>			
痴呆	癡呆	<span class="tone1">chī</span> <span class="tone1">dāi</span>	<ol><li>imbecility</li><li>dementia</li></ol>			
尺度		<span class="tone3">chǐ</span> <span class="tone4">dù</span>	<ol><li>scale</li><li>yardstick</li></ol>			
吃喝玩乐	吃喝玩樂	<span class="tone1">chī</span> <span class="tone1">hē</span> <span class="tone2">wán</span> <span class="tone4">lè</span>	<ol><li>to eat, drink and be merry (idiom)</li><li>to abandon oneself to a life of pleasure</li></ol>			
持久		<span class="tone2">chí</span> <span class="tone3">jiǔ</span>	<ol><li>lasting</li><li>enduring</li><li>persistent</li><li>permanent</li><li>protracted</li><li>endurance</li><li>persistence</li><li>to last long</li></ol>			
吃苦		<span class="tone1">chī</span> <span class="tone3">kǔ</span>	<ol><li>to bear hardships</li></ol>			
吃亏	吃虧	<span class="tone1">chī</span> <span class="tone1">kuī</span>	<ol><li>to suffer losses</li><li>to come to grief</li><li>to lose out</li><li>to get the worst of it</li><li>to be at a disadvantage</li><li>unfortunately</li></ol>			
痴迷		<span class="tone1">chī</span> <span class="tone2">mí</span>	<ol><li>infatuated</li><li>obsessed</li></ol>			
驰名	馳名	<span class="tone2">chí</span> <span class="tone2">míng</span>	<ol><li>famous</li></ol>			
耻辱	恥辱	<span class="tone3">chǐ</span> <span class="tone3">rǔ</span>	<ol><li>disgrace</li><li>shame</li><li>humiliation</li></ol>			
池塘		<span class="tone2">chí</span> <span class="tone2">táng</span>	<ol><li>pool</li><li>pond</li></ol>			
耻笑	恥笑	<span class="tone3">chǐ</span> <span class="tone4">xiào</span>	<ol><li>to sneer at sb</li><li>to ridicule</li></ol>			
痴心		<span class="tone1">chī</span> <span class="tone1">xīn</span>	<ol><li>infatuation</li></ol>			
迟疑	遲疑	<span class="tone2">chí</span> <span class="tone2">yí</span>	<ol><li>to hesitate</li></ol>			
迟早	遲早	<span class="tone2">chí</span> <span class="tone3">zǎo</span>	<ol><li>sooner or later</li></ol>			
持之以恒	持之以恆	<span class="tone2">chí</span> <span class="tone1">zhī</span> <span class="tone3">yǐ</span> <span class="tone2">héng</span>	<ol><li>to pursue unremittingly (idiom); to persevere</li></ol>			
赤字		<span class="tone4">chì</span> <span class="tone4">zì</span>	<ol><li>(financial) deficit</li><li>red letter</li></ol>			
充		<span class="tone1">chōng</span>	<ol><li>sufficient; full</li><li>to fill</li><li>to serve as; to act as</li><li>to act falsely as; to pose as</li></ol>			<span class="nobr">冲</span>
宠	寵	<span class="tone3">chǒng</span>	<ol><li>to love</li><li>to pamper</li><li>to spoil</li><li>to favor</li></ol>			
宠爱	寵愛	<span class="tone3">chǒng</span> <span class="tone4">ài</span>	<ol><li>to dote on sb</li></ol>			
重播		<span class="tone2">chóng</span> <span class="tone1">bō</span>	<ol><li>to replay</li><li>to rerun</li><li>(agriculture) to reseed</li><li>to oversow</li></ol>			
冲刺	衝刺	<span class="tone1">chōng</span> <span class="tone4">cì</span>	<ol><li>(sports) to sprint; to spurt; to dash</li><li>to put in a big effort to achieve a goal as the deadline approaches</li></ol>			
充当	充當	<span class="tone1">chōng</span> <span class="tone1">dāng</span>	<ol><li>to serve as</li><li>to act as</li><li>to play the role of</li></ol>			
重叠	重疊	<span class="tone2">chóng</span> <span class="tone2">dié</span>	<ol><li>to overlap</li><li>to superimpose</li><li>to telescope</li><li>to run together</li><li>to duplicate</li><li>one over another</li><li>superposition</li><li>an overlap</li><li>redundancy</li><li>reduplication (in Chinese grammar, e.g. 散散步 to have a stroll)</li></ol>			
重返		<span class="tone2">chóng</span> <span class="tone3">fǎn</span>	<ol><li>to return to</li></ol>			
崇高		<span class="tone2">chóng</span> <span class="tone1">gāo</span>	<ol><li>majestic</li><li>sublime</li></ol>			
重合		<span class="tone2">chóng</span> <span class="tone2">hé</span>	<ol><li>to match up</li><li>to coincide</li></ol>			
冲浪	衝浪	<span class="tone1">chōng</span> <span class="tone4">làng</span>	<ol><li>to surf</li><li>surfing</li></ol>			
充沛		<span class="tone1">chōng</span> <span class="tone4">pèi</span>	<ol><li>abundant; plentiful</li></ol>			
崇尚		<span class="tone2">chóng</span> <span class="tone4">shàng</span>	<ol><li>to hold up (as an model)</li><li>to hold in esteem</li><li>to revere</li><li>to advocate</li></ol>			
重申		<span class="tone2">chóng</span> <span class="tone1">shēn</span>	<ol><li>to reaffirm</li><li>to reiterate</li></ol>			
充实	充實	<span class="tone1">chōng</span> <span class="tone2">shí</span>	<ol><li>rich</li><li>full</li><li>substantial</li><li>to enrich</li><li>to augment</li><li>to substantiate (an argument)</li></ol>			
冲洗	沖洗	<span class="tone1">chōng</span> <span class="tone3">xǐ</span>	<ol><li>to rinse</li><li>to wash</li><li>to develop (photographic film)</li></ol>			
重现	重現	<span class="tone2">chóng</span> <span class="tone4">xiàn</span>	<ol><li>to reappear</li></ol>			
冲撞	衝撞	<span class="tone1">chōng</span> <span class="tone4">zhuàng</span>	<ol><li>to collide</li><li>jerking motion</li><li>to impinge</li><li>to offend</li><li>to provoke</li></ol>			
仇		<span class="tone2">chóu</span>	<ol><li>hatred</li><li>animosity</li><li>enmity</li><li>foe</li><li>enemy</li><li>to feel animosity toward (the wealthy, foreigners etc)</li></ol>			<span class="nobr">愁</span>
仇		<span class="tone2">Qiú</span>	<ol><li>surname Qiu</li></ol>			
仇		<span class="tone2">qiú</span>	<ol><li>spouse</li><li>companion</li></ol>			<span class="nobr">求</span>
稠		<span class="tone2">chóu</span>	<ol><li>dense</li><li>crowded</li><li>thick</li><li>many</li></ol>			<span class="nobr">仇</span> <span class="nobr">愁</span>
筹	籌	<span class="tone2">chóu</span>	<ol><li>chip (in gambling); token (for counting); ticket</li><li>to prepare; to plan; to raise (funds)</li><li>resource; way; means</li></ol>			<span class="nobr">仇</span> <span class="nobr">愁</span> <span class="nobr">稠</span>
瞅		<span class="tone3">chǒu</span>	<ol><li>(dialect) to look at</li></ol>			<span class="nobr">丑</span>
瞅	矁	<span class="tone3">chǒu</span>	<ol><li>old variant of 瞅</li></ol>			<span class="nobr">丑</span>
筹办	籌辦	<span class="tone2">chóu</span> <span class="tone4">bàn</span>	<ol><li>to arrange; to make preparations</li></ol>			
筹备	籌備	<span class="tone2">chóu</span> <span class="tone4">bèi</span>	<ol><li>preparations</li><li>to get ready for sth</li></ol>			
筹措	籌措	<span class="tone2">chóu</span> <span class="tone4">cuò</span>	<ol><li>to raise (money)</li></ol>			
丑恶	醜惡	<span class="tone3">chǒu</span> <span class="tone4">è</span>	<ol><li>ugly</li><li>repulsive</li></ol>			
仇恨		<span class="tone2">chóu</span> <span class="tone4">hèn</span>	<ol><li>to hate</li><li>hatred</li><li>enmity</li><li>hostility</li></ol>			
筹划	籌劃	<span class="tone2">chóu</span> <span class="tone4">huà</span>	<ol><li>to plan and prepare</li></ol>			
筹集	籌集	<span class="tone2">chóu</span> <span class="tone2">jí</span>	<ol><li>to collect money; to raise funds</li></ol>			
丑陋	醜陋	<span class="tone3">chǒu</span> <span class="tone4">lòu</span>	<ol><li>ugly</li></ol>			
筹码	籌碼	<span class="tone2">chóu</span> <span class="tone3">mǎ</span>	<ol><li>bargaining chip; gaming chip; casino token</li></ol>			
愁眉苦脸	愁眉苦臉	<span class="tone2">chóu</span> <span class="tone2">méi</span> <span class="tone3">kǔ</span> <span class="tone3">liǎn</span>	<ol><li>to look anxious (idiom)</li><li>to look miserable</li></ol>			
稠密		<span class="tone2">chóu</span> <span class="tone4">mì</span>	<ol><li>dense</li></ol>			
抽签	抽籤	<span class="tone1">chōu</span> <span class="tone1">qiān</span>	<ol><li>to perform divination with sticks</li><li>to draw lots</li><li>a ballot (in share dealing)</li></ol>			
仇人		<span class="tone2">chóu</span> <span class="tone2">rén</span>	<ol><li>foe</li><li>one's personal enemy</li></ol>			
抽屉	抽屜	<span class="tone1">chōu</span> <span class="tone5">ti</span>	<ol><li>drawer</li></ol>			
丑闻	醜聞	<span class="tone3">chǒu</span> <span class="tone2">wén</span>	<ol><li>scandal</li></ol>			
抽象		<span class="tone1">chōu</span> <span class="tone4">xiàng</span>	<ol><li>abstract</li><li>abstraction</li></ol>	种|種(<span class="tone3">zhǒng</span>)		
出版社		<span class="tone1">chū</span> <span class="tone3">bǎn</span> <span class="tone4">shè</span>	<ol><li>publishing house</li></ol>			
储备	儲備	<span class="tone3">chǔ</span> <span class="tone4">bèi</span>	<ol><li>to store up</li><li>reserves</li></ol>			
出厂	出廠	<span class="tone1">chū</span> <span class="tone3">chǎng</span>	<ol><li>to leave the factory (of finished goods)</li></ol>			<span class="nobr">出场</span>
出丑	出醜	<span class="tone1">chū</span> <span class="tone3">chǒu</span>	<ol><li>to make a fool of oneself</li></ol>			
初次		<span class="tone1">chū</span> <span class="tone4">cì</span>	<ol><li>for the first time</li><li>first (meeting, attempt etc)</li></ol>			
除此之外		<span class="tone2">chú</span> <span class="tone3">cǐ</span> <span class="tone1">zhī</span> <span class="tone4">wài</span>	<ol><li>apart from this</li><li>in addition to this</li></ol>			
出道		<span class="tone1">chū</span> <span class="tone4">dào</span>	<ol><li>to start one's career</li><li>(of an entertainer) to make one's debut</li></ol>			
触动	觸動	<span class="tone4">chù</span> <span class="tone4">dòng</span>	<ol><li>to touch</li><li>to stir up (trouble or emotions)</li><li>to move (sb's emotions or worry)</li></ol>			
出发点	出發點	<span class="tone1">chū</span> <span class="tone1">fā</span> <span class="tone3">diǎn</span>	<ol><li>starting point</li><li>(fig.) basis</li><li>motive</li></ol>			
触犯	觸犯	<span class="tone4">chù</span> <span class="tone4">fàn</span>	<ol><li>to violate</li><li>to offend</li></ol>			
处方	處方	<span class="tone3">chǔ</span> <span class="tone1">fāng</span>	<ol><li>medical prescription</li><li>to write out a prescription</li><li>(fig.) recommendation</li><li>advice</li></ol>			
出风头	出風頭	<span class="tone1">chū</span> <span class="tone1">fēng</span> <span class="tone5">tou</span>	<ol><li>to push oneself forward</li><li>to seek fame</li><li>to be in the limelight</li><li>same as 出鋒頭｜出锋头</li></ol>			
出境		<span class="tone1">chū</span> <span class="tone4">jìng</span>	<ol><li>to leave a country or region</li><li>outbound (tourism)</li></ol>			
处境	處境	<span class="tone3">chǔ</span> <span class="tone4">jìng</span>	<ol><li>situation (of a person)</li></ol>			
出局		<span class="tone1">chū</span> <span class="tone2">jú</span>	<ol><li>(of a batter) to be put out (in baseball); to be dismissed (in cricket)</li><li>(of a player or team) to be eliminated from a competition</li><li>(fig.) to be weeded out; to get the chop (in a competitive environment)</li></ol>			
出具		<span class="tone1">chū</span> <span class="tone4">jù</span>	<ol><li>to issue (document, certificate etc)</li><li>to provide</li></ol>			
触觉	觸覺	<span class="tone4">chù</span> <span class="tone2">jué</span>	<ol><li>sense of touch; tactile sensation</li></ol>			
出口成章		<span class="tone1">chū</span> <span class="tone3">kǒu</span> <span class="tone2">chéng</span> <span class="tone1">zhāng</span>	<ol><li>(idiom) (of one's speech) eloquent</li><li>articulate</li></ol>			
出卖	出賣	<span class="tone1">chū</span> <span class="tone4">mài</span>	<ol><li>to offer for sale; to sell</li><li>to sell out; to betray</li></ol>			
出毛病		<span class="tone1">chū</span> <span class="tone2">máo</span> <span class="tone4">bìng</span>	<ol><li>a problem appears</li><li>to break down</li></ol>			
触摸	觸摸	<span class="tone4">chù</span> <span class="tone1">mō</span>	<ol><li>to touch</li></ol>			
触目惊心	觸目驚心	<span class="tone4">chù</span> <span class="tone4">mù</span> <span class="tone1">jīng</span> <span class="tone1">xīn</span>	<ol><li>lit. shocks the eye, astonishes the heart (idiom); shocking</li><li>horrible to see</li><li>a ghastly sight</li></ol>			
出难题	出難題	<span class="tone1">chū</span> <span class="tone2">nán</span> <span class="tone2">tí</span>	<ol><li>to raise a tough question</li></ol>			
除去		<span class="tone2">chú</span> <span class="tone4">qù</span>	<ol><li>to eliminate</li><li>to remove</li><li>except for</li><li>apart from</li></ol>			
出任		<span class="tone1">chū</span> <span class="tone4">rèn</span>	<ol><li>to take up a post; to start in a new job</li></ol>			
出人意料		<span class="tone1">chū</span> <span class="tone2">rén</span> <span class="tone4">yì</span> <span class="tone4">liào</span>	<ol><li>unexpected (idiom)</li><li>surprising</li></ol>			
出山		<span class="tone1">chū</span> <span class="tone1">shān</span>	<ol><li>to leave the mountain (of a hermit)</li><li>to come out of obscurity to a government job</li><li>to take a leading position</li></ol>			
出身		<span class="tone1">chū</span> <span class="tone1">shēn</span>	<ol><li>to be born of</li><li>to come from</li><li>family background</li><li>class origin</li></ol>			
出示		<span class="tone1">chū</span> <span class="tone4">shì</span>	<ol><li>to show</li><li>to take out and show to others</li><li>to display</li></ol>			<span class="nobr">出事</span>
出手		<span class="tone1">chū</span> <span class="tone3">shǒu</span>	<ol><li>to dispose of</li><li>to spend (money)</li><li>to undertake a task</li></ol>			
出头	出頭	<span class="tone1">chū</span> <span class="tone2">tóu</span>	<ol><li>to get out of a predicament</li><li>to stick out</li><li>to take the initiative</li><li>remaining odd fraction after a division</li><li>a little more than</li></ol>			
出土		<span class="tone1">chū</span> <span class="tone3">tǔ</span>	<ol><li>to dig up</li><li>to appear in an excavation</li><li>unearthed</li><li>to come up out of the ground</li></ol>			
除外		<span class="tone2">chú</span> <span class="tone4">wài</span>	<ol><li>to exclude</li><li>not including sth (when counting or listing)</li><li>except for</li></ol>			
出息		<span class="tone1">chū</span> <span class="tone5">xi</span>	<ol><li>future prospects</li><li>profit</li><li>to mature</li><li>to grow up</li></ol>			
出息		<span class="tone1">chū</span> <span class="tone1">xī</span>	<ol><li>to yield interest, profit etc</li><li>to exhale (Buddhism)</li></ol>			
储蓄	儲蓄	<span class="tone3">chǔ</span> <span class="tone4">xù</span>	<ol><li>to save money (in a bank)</li><li>savings</li></ol>			
出血		<span class="tone1">chū</span> <span class="tone4">xuè</span>	<ol><li>to bleed; bleeding</li><li>(fig.) to spend money in large amounts</li></ol>			
出演		<span class="tone1">chū</span> <span class="tone3">yǎn</span>	<ol><li>to appear (in a show etc)</li><li>an appearance (on stage etc)</li></ol>			
出洋相		<span class="tone1">chū</span> <span class="tone2">yáng</span> <span class="tone4">xiàng</span>	<ol><li>to make a fool of oneself</li></ol>			
出游	出遊	<span class="tone1">chū</span> <span class="tone2">yóu</span>	<ol><li>to go on a tour</li><li>to have an outing</li></ol>			
处置	處置	<span class="tone3">chǔ</span> <span class="tone4">zhì</span>	<ol><li>to handle</li><li>to take care of</li><li>to punish</li></ol>			
出众	出眾	<span class="tone1">chū</span> <span class="tone4">zhòng</span>	<ol><li>to stand out</li><li>outstanding</li></ol>			
初衷		<span class="tone1">chū</span> <span class="tone1">zhōng</span>	<ol><li>original intention</li></ol>			<span class="nobr">初中</span>
出主意		<span class="tone1">chū</span> <span class="tone3">zhǔ</span> <span class="tone5">yi</span>	<ol><li>to come up with ideas</li><li>to make suggestions</li><li>to offer advice</li></ol>			
出资	出資	<span class="tone1">chū</span> <span class="tone1">zī</span>	<ol><li>to fund</li><li>to put money into sth</li><li>to invest</li></ol>			
出自		<span class="tone1">chū</span> <span class="tone4">zì</span>	<ol><li>to come from</li></ol>			
出走		<span class="tone1">chū</span> <span class="tone3">zǒu</span>	<ol><li>to leave home</li><li>to go off</li><li>to run away</li></ol>			
揣		<span class="tone1">chuāi</span>	<ol><li>to put into (one's pockets, clothes)</li></ol>		<span class="tone3">chuǎi</span>	
揣		<span class="tone3">chuǎi</span>	<ol><li>to estimate</li><li>to guess</li><li>to figure</li><li>to surmise</li></ol>			
踹		<span class="tone4">chuài</span>	<ol><li>to kick</li><li>to trample</li><li>to tread on</li></ol>			
揣测	揣測	<span class="tone3">chuǎi</span> <span class="tone4">cè</span>	<ol><li>to guess</li><li>to conjecture</li></ol>			
揣摩		<span class="tone3">chuǎi</span> <span class="tone2">mó</span>	<ol><li>to analyze</li><li>to try to figure out</li><li>to try to fathom</li></ol>			
